物品数,蛮力法(ms),回溯法(ms),回溯剪枝(ms),动态规划(ms),贪心法(ms)
5,0.000,0.000,0.000,6.000,0.000
6,0.000,0.000,0.000,6.000,0.000
7,0.000,0.000,0.000,7.000,0.000
8,0.000,0.000,0.000,7.000,0.000
9,0.000,0.000,0.000,10.000,0.000
10,0.000,0.000,0.000,9.000,0.000
11,0.000,0.000,0.000,11.000,0.000
12,0.000,1.000,0.000,11.000,0.000
13,0.000,0.000,0.000,12.000,0.000
14,1.000,0.000,0.000,13.000,0.000
15,2.000,0.000,0.000,14.000,0.000
16,4.000,1.000,0.000,14.000,0.000
17,9.000,1.000,0.000,15.000,0.000
18,18.000,2.000,0.000,16.000,0.000
19,38.000,4.000,0.000,18.000,0.000
20,75.000,8.000,0.000,19.000,0.000
21,148.000,13.000,0.000,17.000,0.000
22,255.000,27.000,1.000,18.000,0.000
23,554.000,56.000,1.000,19.000,0.000
24,1096.000,95.000,2.000,20.000,0.000
