物品数,动态规划(ms),快排贪心法(ms),选择排序贪心(ms)
50,48.000,0.000,0.000
100,90.000,0.000,0.000
200,177.000,0.000,0.000
500,441.000,0.000,0.000
1000,870.000,0.000,1.000
2000,1789.000,1.000,3.000
3000,2941.000,0.000,7.000
4000,4125.000,0.000,11.000
5000,5441.000,1.000,17.000
6000,6385.000,1.000,27.000189
8000,9859.000,1.000,46.000
10000,14485.000,1.000,72.000
12000,20044.000,2.000,107.000
16000,34594.000,3.000,189.000
20000,53005.000,3.000,296.000
24000,78250.000,3.000,411.000
28000,96867.000,6.000,573.000
32000,116616.000,6.000,733.000
